source_id,status,pages,text_chars,empty_pages,table_label_pages,repeated_glyph_pages,units,error
rihp-research-report-2025-10,extracted-needs-review,182,138086,4;20;22;28;30;98;140;166;168;176;180;182,18;99;116;118;126;129;130;131;135;136,,6,
rihp-forum-2025-v23-n4,extracted-needs-review,76,89164,2;6;44;72;74;76,40,8;17;21,14,
rihp-forum-2026-v24-n1,extracted-needs-review,68,71476,2;6;42;64;66;68,30;31;32;34;45;47,8;13;18,15,
rihp-policy-analysis-2025-06,extracted-needs-review,61,64201,2;6,4;10;11;31;33;34;44;45,1;61,6,
rihp-policy-analysis-2025-07,extracted-needs-review,50,38691,2;6,4;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,1,6,
rihp-annual-report-2021,extracted-needs-review,40,44584,1,13;26,,1,
rihp-annual-report-2022,extracted-needs-review,62,65445,1,8,,1,
rihp-forum-2025-v23-n1,extracted-needs-review,88,109502,2;8;36;86;88,40;44;45;67;69;80;83,10;15;20;25;30;64,17,
rihp-forum-2025-v23-n2,extracted-needs-review,106,121244,2;4;8;56;68;74;104;106,12;60;71;72;90;91;92;101,10;17;22;28;31,4,
rihp-forum-2025-v23-n3,extracted-needs-review,68,78176,2;22;64;66;68,24;33;43;44;53,10;16,15,
rihp-issue-briefing-13,extracted-needs-review,6,10069,,,,1,
rihp-issue-briefing-14,extracted-needs-review,4,6946,,3,,1,
rihp-issue-briefing-15,extracted-needs-review,8,14156,,4;5,,1,
rihp-issue-briefing-16,extracted-needs-review,9,13500,,5,,1,
rihp-policy-analysis-2025-04,extracted-needs-review,50,53092,2;6;48;50,26,1;49,6,
rihp-research-report-2025-05,extracted-needs-review,162,169606,16;20;72;94;96;122;124;144;146;148;160;162,13;22;23;26;27;32;33;34;45;49;50;51;55;60;61;62;65;66;67;68;136,,6,
rihp-research-report-2025-06,extracted-needs-review,174,148537,4;16;18;34;78;128;130;144;150;156;172;174,13;14;26;27;28;36;37;45;47;51;52;54;66;75;79;80;81;82;84;85;87;89;90;92;94;97;99;101;102;103;106;108;110;111;112;113;114;115;116;117;124;134;137,,7,
rihp-research-report-2025-07,extracted-needs-review,158,145607,10;12;16;18;36;38;70;124;126;146;148;158,7;8;29;32;34;35;39;41;43;44;45;47;49;50;52;54;56;57;58;59;60;61;62;63;64;65;66;87;97;98;106;107;114;115;118,,5,
rihp-research-report-2025-08,extracted-needs-review,250,210881,4;28;30;36;38;208;216;218;224;226;250,26;34;42;71;75;107;109;116;119;121;139;165;185;201;203;213,,6,
rihp-research-report-2025-09,extracted-needs-review,106,86285,4;12;18;24;38;40;76;90;98;104;106,7;8;15;29;47;49;51;64;65;66;67;68;77;80;81;83;84;86;88,,6,
rihp-research-report-2025-11,extracted-needs-review,166,106397,4;14;24;26;110;112;140;142;148;166,11;35;64;103;122;123;124;127;135;137,,7,
rihp-research-report-2026-02,extracted-needs-review,206,156409,4;10;22;36;38;44;46;54;56;64;66;76;78;186;196;206,16;17;18;19;29;30;41;52;69;75;79;86;87;88;91;93;94;95;98;99;100;101;104;106;109;110;112;113;114;117;120;121;123;125;126;128;129;130;133;135;136;137;138;139;140;141;142;143;144;146;148;149;150;151;152;153;154;155;156;158;159;160;161;162,,8,
